Title;Year;Director
Baise-moi 2000;
The Catcher 2000;
Strange Frequency 2001;
Dark Stories: Tales from Beyond the Grave 2001;
Halloweentown II: Kalabar's Revenge 2001;
Suicide 2001;
Face to Face 2002;
Fangs 2002;
Dark Stories 2: Tales from Beneath 2002;
Killjoy 2: Deliverance from Evil 2002;
Guardian of the Frontier 2002;
Dark Stories 3: Tales from the Grave 2002;
Make a Wish 2002;
Deathwatch 2002;
Alter Ego 2002;
Graveyard Alive: A Zombie Nurse in Love 2003;
Evil in the Bayou 2003;
Tales from the Grave 2003;
August Underground's Mordum 2003;
Toe Tags 2003;
Wishing Stairs 2003;
Inhabited 2003;
Perfect Strangers 2003;
Blood Bath 2003;
Monster 2003;
Tomb of Terror 2004;
Jelly Dolly 2004;
Hotel 2004;
Dumplings 2004;
Horror 102: Endgame 2004;
Teenage Bikini Vampire 2004;
Tales from the Grave, Volume 2: Happy Holidays 2005;
Way of the Vampire 2005;
Monster 2005;
D' Anothers 2005;
Day of the Dead 2: Contagium 2005;
The Quiet 2005;
In Memorium 2005;
Aunt Tiger 2005;
Curse of Lola 2005;
Sharp Teeth 2006;
Branded 2006;
Vampire Dentist 2006;
Creepshow 3 2006;
Moscow Zero 2006;
Incubus 2006;
Snoop Dogg's Hood of Horror 2006;
Candy Stripers 2006;
Population 436 2006;
4 Horror Tales: Roommates 2006;
Wilderness 2006;
Legend of the Sandsquatch 2006;
The Dead Girl 2006;
The Root of Evil 2006;
Pocahauntus 2006;
Razortooth 2007;
Descent 2007;
Plot 7 2007;
American Zombie 2007;
The Door 2007;
Tales of Terror from Tokyo and All Over Japan: Volume 3, Part 2 2007;
Domain of the Damned 2007;
Each Time I Kill 2007;
The Dead Nurse 2007;
The Cry 2007;
Creek 2007;
Hybrid 2007;
Salvation 2007;
Total Fury 2007;
April Fools 2007;
Lawang Sewu 2007;
The Forever Dead 2007;
The Stitcher 2007;
Fear(s) of the Dark 2007;
Strange Girls 2007;
The Shadow Within 2007;
Splatter Movie 2008;
The Devil's Mercy 2008;
Witchcraft 13: Blood of the Chosen 2008;
Ghost on the Bridge 2008;
Surveillance 2008;
The Chasing World 2008;
The Virgin Corpse 2008;
Grindstone Road 2008;
Sorority Sister Slaughter 2008;
The Headless Woman 2008;
Marina Monster 2008;
Sinner 2008;
Fiction. 2008;
Gingerdead Man 2: Passion of the Crust 2008;
Prank 2008;
Twilight Syndrome: Deadly Theme Park 2008;
Closet Space 2008;
The Trek 2008;
Bitez 2008;
Fistful of Brains 2008;
While She Was Out 2008;
The Daisy Chain 2008;
Actual Images: The Valley Murder Tapes 2008;
Devil's Grove 2008;
Credo 2008;
Twilight 2008;
4 Days 2008;
The Caretaker 2008;
Invicta 2009;
Bluebeard 2009;
Clownstrophobia 2009;
In Her Skin 2009;
Family Demons 2009;
Nora Roberts' Tribute 2009;
The Audition 2009;
Dead Hooker in a Trunk 2009;
Cropsey 2009;
Don't Look Back 2009;
Dark Spaces 2009;
His Will Be Done 2009;
Protege 2009;
Solomon Kane 2009;
Red Hook 2009;
Sutures 2009;
Gore 2009;
Black Field 2009;
Temptation 2009;
Strigoi 2009;
Hurt 2009;
Sweatshop 2009;
Denizen 2010;
The Apparition Of Roxanne 2010;
Break 2010;
Ludlow 2010;
Sherlock Holmes 2010;
Slaughtered 2010;
In Their Sleep 2010;
Tiran-Mati Di Ranjang 2010;
Psychic Experiment 2010;
Hard Ride to Hell 2010;
Killer Hoo-Ha! 2010;
The Chasing World 2 2010;
666 2010;
Stranded 2010;
Cinco 2010;
Nightmare Alley 2010;
Wake 2010;
Wake the Witch 2010;
Bikini Vampire Babes 2010;
Eat Me! 2010;
10 Days To Die 2010;
Angry 2010;
Fugue 2011;
Trippin' 2011;
The Creepy Doll 2011;
The Craving 2011;
Occupied 2011;
The Future 2011;
Demonica's Reign 2011;
My Sucky Teen Romance 2011;
Prisoners of the Dead 2011;
Cellular Girlfriends 2011;
A Lonely Place to Die 2011;
Hard Labor 2011;
Junior 2011;
Silly Scaries 2011;
Hop-o'-My-Thumb 2011;
Pocong Minta Kawin 2011;
Cousin Sarah 2011;
Johnny Ghost 2011;
Brutal 2012;
Penganten Pocong 2012;
A Few Brains More 2012;
Rumah Hantu Pasar Malam 2012;
Sun Don't Shine 2012;
Loverboy 2012;
Blood Rites 2012;
The Chasing World 3 2012;
The Chasing World 4 2012;
The Chasing World 5 2012;
Off Season 2012;
Video Diary of a Lost Girl 2012;
Don't Worry, I'm a Ghost 2012;
Horror Stories 2012;
The Awakened 2012;
Silent Hill: Revelation 3D 2012;
Dead Before Dawn 2012;
Bluebeard 2012;
Le Marquis de la Croix 2012;
Amber Alert 2012;
Donner Pass 2012;
Evil Things 2012;
Day 665 2013;
Isis Rising: Curse of the Lady Mummy 2013;
Blood Drive: The Movie 2013;
Assignment: Witches Talisman 2013;
Chill: The Killing Games 2013;
Kerasukan 2013;
Butter on the Latch 2013;
It's a Beautiful Day 2013;
Lucid 2013;
Pinup Dolls on Ice 2013;
Hide and Seek 2013;
HazMat 2013;
Haunted Maze 2013;
Perawan Seberang 2013;
The Blue Eyes 2013;
Night Moves 2013;
Mister White 2013;
Deathly Love 2013;
Innocence 2013;
Days of the Iguanas 2013;
Truth or Dare 2013;
Death by VHS 2013;
Dead Woman's Hollow 2013;
Pantai Selatan 2013;
Evangeline 2013;
The Penny Dreadful Picture Show 2013;
Silent Retreat 2013;
Dark Mountain 2013;
Another Me 2013;
Demon Hunters: Fear the Silence 2013;
Clean Break 2013;
21 Days 2014;
The Shoot 2014;
Dark Amazon 2014;
Flowers in the Attic 2014;
Ten 2014;
A Cry from Within 2014;
Rosemary's Baby 2014;
Rebound 2014;
Crazy Bitches 2014;
Killer Legends 2014;
Bongo: Killer Clown 2014;
Kamar 207 2014;
The Midnight Swim 2014;
Lyle 2014;
6 Days Dark 2014;
The Wicked 2014;
A Vault of Victims 2014;
The Haunting of Alice D 2014;
Cut Her Out 2014;
The Afterglow 2014;
Berkshire County 2014;
Barbarous Mexico 2014;
Psychomentary 2014;
American Burger 2014;
The Dorm 2014;
Inner Demon 2014;
Cermin Penari Jaipong 2014;
El Gigante 2014;
Rumah Kosong 2014;
Dark Prism 2015;
Hallucinogen 2015;
13 Weird Stories 2015;
Olalla 2015;
Spiderwebhouse 2015;
The Blue Hour 2015;
Rage: Midsummer's Eve 2015;
Housekeeping 2015;
Angel Whispers 2015;
Fun Size Horror: Volume One 2015;
Model Hunger 2015;
Deadly Waters 2015;
Y te sacaran los ojos 2015;
Summit 2015;
Advantageous 2015;
The Citadel 2015;
Kastil Tua 2015;
Farhope Tower 2015;
The Fits 2015;
Kill Me Please 2015;
Southbound 2015;
Mania 2015;
Mary Loss of Soul 2015;
Agoraphobia 2015;
Nasty 2015;
Conventional 2015;
Fun Size Horror: Volume Two 2015;
Frances Stein 2015;
Whispers 2015;
Toda la noche 2015;
Girls, Dance with the Dead 2015;
Knock Knock Who's There 2015;
Blind Sun 2015;
Sociopathia 2015;
Horror 2015;
A Night of Horror Volume 1 2015;
Villa 603 2015;
The Legend Of Wasco 2015;
B.C. Butcher 2016;
Kidan Piece of Darkness 2016;
Den of Darkness 2016;
HoneyBee 2016;
Blood of the Tribades 2016;
Oops!! Ada Vampir 2016;
Amityville: Vanishing Point 2016;
Encounter 2016;
Blood Sombrero 2016;
Split 2016;
Camera Phone 2 2016;
Dokumushi: Toxic Insects 2016;
Deadly Intent 2016;
Holidays 2016;
Women Who Kill 2016;
Midori: The Camellia Girl 2016;
Sickhouse 2016;
Lilith's Awakening 2016;
Black Mamba 2016;
Mother, May I Sleep with Danger? 2016;
She Was So Pretty 2016;
Forgotten Tales 2016;
Grindsploitation 2016;
All Girls Weekend 2016;
Brides to Be 2016;
Dolly Deadly 2016;
Egomaniac 2016;
The Evil Gene 2016;
Dark Circus 2016;
And the Devil Makes Three 2016;
The Spiritualist 2016;
Blood Hunters 2016;
Maniac Tales 2016;
The 6th Friend 2016;
The Halloween Store Zombie Wedding Movie 2016;
4426 2016;
Demon Hunter 2016;
Condo Hell 2016;
Mondo Yakuza 2016;
Monster: The Prehistoric Project 2016;
The Labyrinth 2017;
Werewolf Bitches from Outer Space 2017;
The Bye Bye Man 2017;
The Tunnel 2017;
Room 213 2017;
Bitch 2017;
7 from Etheria 2017;
The Book of Birdie 2017;
A Closer Walk with Thee 2017;
Imitation Girl 2017;
Snakes & Ladder 2017;
The Honor Farm 2017;
Fry Day 2017;
The Strange Ones 2017;
Sorceress 2017;
The Abduction of Jennifer Grayson 2017;
Molly 2017;
